submission_id,config,run_index,model_name,pipeline_version,overall,novelty,rigor,applicability,clarity,citation,input_tokens,output_tokens,evaluation_id,run_kind
MS9nWFY7LG,full,0,gpt-5.4,v6,78,82,79,75,78,56,301693,15713,7710dd4e-34a3-4403-b212-5a114ad0ebcf,adhoc
MS9nWFY7LG,naive,0,gpt-5.4,naive,81,,,,,,30754,376,,adhoc
MS9nWFY7LG,full,1,gpt-5.4,v6,77,78,77,76,79,64,242321,17055,554b302c-e564-4946-abc8-10438ff3cd87,adhoc
MS9nWFY7LG,naive,1,gpt-5.4,naive,74,,,,,,30752,573,,adhoc
MS9nWFY7LG,full,2,gpt-5.4,v6,75,77,74,72,78,80,296160,15595,2ca9b833-cade-4d8e-987f-9355afc4bfdb,adhoc
MS9nWFY7LG,naive,2,gpt-5.4,naive,76,,,,,,30752,722,,adhoc
e3XLWHFrnr,full,0,gpt-5.4,v6,76,79,78,72,75,72,279618,15260,f81585e3-b56d-4f5a-91d0-9a8d23c32b63,adhoc
e3XLWHFrnr,naive,0,gpt-5.4,naive,74,,,,,,26773,620,,adhoc
e3XLWHFrnr,full,1,gpt-5.4,v6,75,78,74,72,76,84,278986,18916,19e8f6b0-4fe5-4e87-b4d0-4ea83f951fc8,adhoc
e3XLWHFrnr,naive,1,gpt-5.4,naive,74,,,,,,26775,566,,adhoc
e3XLWHFrnr,full,2,gpt-5.4,v6,76,79,75,72,78,76,224821,17705,c3af2dd1-4777-41c5-9eb3-90f9780c25d7,adhoc
e3XLWHFrnr,naive,2,gpt-5.4,naive,78,,,,,,26775,299,,adhoc
2tgeU3xO1r,full,0,gpt-5.4,v6,71,77,72,58,81,100,271182,16615,c95848bd-1d1f-4c0f-8134-d12252bd61db,adhoc
2tgeU3xO1r,naive,0,gpt-5.4,naive,72,,,,,,34992,381,,adhoc
2tgeU3xO1r,full,1,gpt-5.4,v6,71,78,74,57,81,92,613541,15927,4bc6b48a-f93b-453d-a0df-e1b1973ca11b,adhoc
2tgeU3xO1r,naive,1,gpt-5.4,naive,68,,,,,,34992,259,,adhoc
2tgeU3xO1r,full,2,gpt-5.4,v6,70,76,72,57,82,100,264754,17285,3a63b9fa-230a-4f1c-97fc-b3b38ac84330,adhoc
2tgeU3xO1r,naive,2,gpt-5.4,naive,62,,,,,,34990,236,,adhoc
zATqiLdjfM,naive,0,gpt-5.4,naive,46,,,,,,38584,392,,adhoc
zATqiLdjfM,full,1,gpt-5.4,v6,69,72,66,68,77,60,288576,13569,068c6c31-de15-4da2-a12a-8a2473d18166,adhoc
zATqiLdjfM,naive,1,gpt-5.4,naive,38,,,,,,38575,458,,adhoc
zATqiLdjfM,full,2,gpt-5.4,v6,69,72,66,68,78,56,296756,15468,caa31b1e-cd00-4c6e-a852-95f6ce383e7e,adhoc
zATqiLdjfM,naive,2,gpt-5.4,naive,46,,,,,,38575,385,,adhoc
6AhDxoT6rq,naive,0,gpt-5.4,naive,74,,,,,,60641,2282,,adhoc
zATqiLdjfM,full,0,gpt-5.4,v6,68,66,68,67,79,72,186545,13435,30b012ba-0bb9-42a3-8311-c8f24d60bd53,adhoc
MS9nWFY7LG,full_mini,0,gpt-5.4-mini,v6,75,74,73,78,76,72,246111,15538,d50ab3ed-41aa-4685-9d3c-d78197a4272d,adhoc
MS9nWFY7LG,naive_mini,0,gpt-5.4-mini,naive,74,,,,,,30755,239,,adhoc
MS9nWFY7LG,full_mini,1,gpt-5.4-mini,v6,71,73,76,68,78,40,245815,17438,af6e3af7-0ccb-4163-ba71-b0fd976f9f77,adhoc
MS9nWFY7LG,naive_mini,1,gpt-5.4-mini,naive,74,,,,,,30755,304,,adhoc
MS9nWFY7LG,full_mini,2,gpt-5.4-mini,v6,77,77,75,77,79,88,237670,19061,d8fff073-5a7a-4958-a7e0-dfb46df63627,adhoc
MS9nWFY7LG,naive_mini,2,gpt-5.4-mini,naive,81,,,,,,30756,268,,adhoc
e3XLWHFrnr,full_mini,0,gpt-5.4-mini,v6,69,74,72,62,74,72,218373,13399,e96b32d3-bed1-4eac-9e76-f1a586761ee6,adhoc
e3XLWHFrnr,naive_mini,0,gpt-5.4-mini,naive,72,,,,,,26777,200,,adhoc
e3XLWHFrnr,full_mini,1,gpt-5.4-mini,v6,70,77,73,61,76,68,275390,21820,4c1ca0cc-4604-4043-9f56-f3cb1bbe5dc7,adhoc
e3XLWHFrnr,naive_mini,1,gpt-5.4-mini,naive,78,,,,,,26775,154,,adhoc
e3XLWHFrnr,full_mini,2,gpt-5.4-mini,v6,71,74,72,67,72,68,213350,17704,38adfa48-adcb-4d7c-95bd-02d683247991,adhoc
e3XLWHFrnr,naive_mini,2,gpt-5.4-mini,naive,74,,,,,,26777,215,,adhoc
2tgeU3xO1r,full_mini,0,gpt-5.4-mini,v6,57,67,69,31,78,84,261222,17768,458ebe4e-8978-4f5e-9c50-3cc248b37552,adhoc
2tgeU3xO1r,naive_mini,0,gpt-5.4-mini,naive,72,,,,,,34997,203,,adhoc
2tgeU3xO1r,full_mini,1,gpt-5.4-mini,v6,63,75,68,42,78,88,261221,19135,ffb3d90a-d8a1-4422-9e2b-9e6a61f7fc14,adhoc
2tgeU3xO1r,naive_mini,1,gpt-5.4-mini,naive,62,,,,,,34992,179,,adhoc
2tgeU3xO1r,full_mini,2,gpt-5.4-mini,v6,62,74,67,43,78,72,206961,16693,78f45264-02af-45d4-8e0e-013026f99c24,adhoc
2tgeU3xO1r,naive_mini,2,gpt-5.4-mini,naive,68,,,,,,34994,175,,adhoc
zATqiLdjfM,full_mini,0,gpt-5.4-mini,v6,57,57,54,57,73,40,225856,12365,ea8af9c3-4b49-46b7-bf66-c700a91a3531,adhoc
zATqiLdjfM,naive_mini,0,gpt-5.4-mini,naive,46,,,,,,38585,192,,adhoc
zATqiLdjfM,full_mini,1,gpt-5.4-mini,v6,59,57,61,53,76,80,224885,15085,edc71a4e-b98a-4474-aff3-f7b994deab63,adhoc
zATqiLdjfM,naive_mini,1,gpt-5.4-mini,naive,58,,,,,,38593,273,,adhoc
zATqiLdjfM,full_mini,2,gpt-5.4-mini,v6,61,57,63,59,74,64,294244,15072,e711ad85-1648-40a8-9272-9ee0ea7643a9,adhoc
zATqiLdjfM,naive_mini,2,gpt-5.4-mini,naive,52,,,,,,38587,168,,adhoc
6AhDxoT6rq,full_mini,0,gpt-5.4-mini,v6,73,76,72,68,73,100,331589,15692,ad491426-98cc-4704-90eb-e11253536320,adhoc
6AhDxoT6rq,naive_mini,0,gpt-5.4-mini,naive,57,,,,,,60641,280,,adhoc
6AhDxoT6rq,full_mini,1,gpt-5.4-mini,v6,73,75,74,67,72,100,330448,18370,0db780fe-19f6-44ed-b99b-0bc53d38c5a1,adhoc
6AhDxoT6rq,naive_mini,1,gpt-5.4-mini,naive,81,,,,,,60645,316,,adhoc
6AhDxoT6rq,full_mini,2,gpt-5.4-mini,v6,73,78,74,69,66,76,491197,20605,70b4d28b-a51a-49b5-946d-e51bcbdae162,adhoc
6AhDxoT6rq,naive_mini,2,gpt-5.4-mini,naive,68,,,,,,60642,383,,adhoc
Ml8t8kQMUP,full_mini,0,gpt-5.4-mini,v6,65,73,66,55,71,72,422522,11182,c3f631f3-d89d-4384-9c17-507e3d22a31f,adhoc
Ml8t8kQMUP,naive_mini,0,gpt-5.4-mini,naive,58,,,,,,61480,227,,adhoc
Ml8t8kQMUP,full_mini,1,gpt-5.4-mini,v6,68,76,66,58,68,100,338343,16304,b9f17ce0-9911-45d6-9527-df76a495ca10,adhoc
Ml8t8kQMUP,naive_mini,1,gpt-5.4-mini,naive,44,,,,,,61480,179,,adhoc
Ml8t8kQMUP,full_mini,2,gpt-5.4-mini,v6,67,74,66,58,68,80,502531,20689,20dbc2b2-ab17-4878-8cdb-5175f5dc956e,adhoc
Ml8t8kQMUP,naive_mini,2,gpt-5.4-mini,naive,42,,,,,,61480,142,,adhoc
FZczi1S2ji,full_mini,0,gpt-5.4-mini,v6,59,58,62,58,53,72,329971,14568,3e19d3d9-eaa1-4396-ab32-f200f22428e3,adhoc
FZczi1S2ji,naive_mini,0,gpt-5.4-mini,naive,27,,,,,,46707,236,,adhoc
FZczi1S2ji,full_mini,1,gpt-5.4-mini,v6,59,58,61,60,62,48,328511,16354,ceae0093-f4dc-415a-8f26-fd8a6a2a1f03,adhoc
FZczi1S2ji,naive_mini,1,gpt-5.4-mini,naive,28,,,,,,46705,225,,adhoc
FZczi1S2ji,full_mini,2,gpt-5.4-mini,v6,57,58,60,55,54,48,266766,20317,b065a0bc-0c82-4404-8bcb-d1ff398faef8,adhoc
FZczi1S2ji,naive_mini,2,gpt-5.4-mini,naive,28,,,,,,46705,246,,adhoc
87ySF7viys,full_mini,0,gpt-5.4-mini,v6,68,67,78,63,72,76,221530,23877,beeebfc0-311e-413c-bed6-dba7c6a0b72d,adhoc
87ySF7viys,naive_mini,0,gpt-5.4-mini,naive,78,,,,,,29178,237,,adhoc
87ySF7viys,full_mini,1,gpt-5.4-mini,v6,67,61,77,67,68,84,237506,17480,c4edcd5b-92fe-4307-a0fe-1869bd8acae7,adhoc
87ySF7viys,naive_mini,1,gpt-5.4-mini,naive,74,,,,,,29178,210,,adhoc
87ySF7viys,full_mini,2,gpt-5.4-mini,v6,70,67,76,68,74,84,225835,16534,ae7ac894-4c73-459d-a318-86e275642294,adhoc
87ySF7viys,naive_mini,2,gpt-5.4-mini,naive,73,,,,,,29181,136,,adhoc
8NuN5UzXLC,full_mini,0,gpt-5.4-mini,v6,72,74,71,67,72,100,395895,15110,f07253d2-03d9-4723-b30d-1fadca45c3ee,adhoc
8NuN5UzXLC,naive_mini,0,gpt-5.4-mini,naive,72,,,,,,58421,181,,adhoc
8NuN5UzXLC,full_mini,1,gpt-5.4-mini,v6,69,69,71,63,74,100,326923,23016,5201b48b-61be-4de3-8802-d66783fdbc7b,adhoc
8NuN5UzXLC,naive_mini,1,gpt-5.4-mini,naive,72,,,,,,58418,197,,adhoc
8NuN5UzXLC,full_mini,2,gpt-5.4-mini,v6,72,73,71,67,74,100,324161,16450,8a3a7c45-d2ee-40de-bc4a-a4124d06b0db,adhoc
8NuN5UzXLC,naive_mini,2,gpt-5.4-mini,naive,76,,,,,,58423,217,,adhoc
2za3iNkwXn,full_mini,0,gpt-5.4-mini,v6,69,68,72,67,78,72,249759,23795,eba89d82-9759-436d-9daa-838ee585977a,adhoc
2za3iNkwXn,naive_mini,0,gpt-5.4-mini,naive,74,,,,,,31824,210,,adhoc
2za3iNkwXn,full_mini,1,gpt-5.4-mini,v6,65,58,74,60,79,88,314283,12060,df9b69f2-934d-490e-9fed-640623dd6373,adhoc
2za3iNkwXn,naive_mini,1,gpt-5.4-mini,naive,72,,,,,,31824,192,,adhoc
2za3iNkwXn,full_mini,2,gpt-5.4-mini,v6,68,61,74,68,77,88,251572,18501,d1ed7bf0-2f5d-4e48-93d1-78c0cdc3ae95,adhoc
2za3iNkwXn,naive_mini,2,gpt-5.4-mini,naive,72,,,,,,31841,402,,adhoc
vzlDdOzXAh,full_mini,0,gpt-5.4-mini,v6,70,68,72,67,77,88,317324,19805,a4f71aa4-6c87-4d7b-8a3c-58bfde3f2ced,adhoc
vzlDdOzXAh,naive_mini,0,gpt-5.4-mini,naive,72,,,,,,35981,289,,adhoc
vzlDdOzXAh,full_mini,1,gpt-5.4-mini,v6,67,61,74,64,75,84,212082,21650,d21f4ff6-efd1-460f-9a6f-f74cb3d453a8,adhoc
vzlDdOzXAh,naive_mini,1,gpt-5.4-mini,naive,72,,,,,,35983,234,,adhoc
vzlDdOzXAh,full_mini,2,gpt-5.4-mini,v6,67,60,73,68,76,84,211286,13763,9fdda8fa-c4cd-4446-bf84-d6a1c3d7d72a,adhoc
vzlDdOzXAh,naive_mini,2,gpt-5.4-mini,naive,72,,,,,,35983,191,,adhoc
skRDw08ql6,full_mini,0,gpt-5.4-mini,v6,66,62,70,64,75,72,220491,14508,f3397d3c-abf8-48ac-ab62-f233754e9d0b,adhoc
skRDw08ql6,naive_mini,0,gpt-5.4-mini,naive,62,,,,,,27630,201,,adhoc
skRDw08ql6,full_mini,1,gpt-5.4-mini,v6,68,63,73,68,77,76,225477,15268,dd251762-d250-46a9-b3b9-366b6c30b0fd,adhoc
skRDw08ql6,naive_mini,1,gpt-5.4-mini,naive,55,,,,,,27630,172,,adhoc
skRDw08ql6,full_mini,2,gpt-5.4-mini,v6,64,56,72,63,79,84,222080,16087,c9c30c45-ec93-4c01-8fbb-ead13bf889f5,adhoc
skRDw08ql6,naive_mini,2,gpt-5.4-mini,naive,62,,,,,,27628,203,,adhoc
Xhf9YqwlM4,full_mini,0,gpt-5.4-mini,v6,80,88,93,64,75,96,263710,18515,5e9bf7b1-ef3b-4b90-8a00-85695b48351e,adhoc
Xhf9YqwlM4,naive_mini,0,gpt-5.4-mini,naive,78,,,,,,45995,179,,adhoc
Xhf9YqwlM4,full_mini,1,gpt-5.4-mini,v6,75,83,89,57,72,100,259425,13901,789a44e8-2939-439e-bbd0-8e2cf1e8c57b,adhoc
Xhf9YqwlM4,naive_mini,1,gpt-5.4-mini,naive,78,,,,,,45994,193,,adhoc
Xhf9YqwlM4,full_mini,2,gpt-5.4-mini,v6,77,87,85,61,72,100,330376,13396,c24e557b-1065-4c17-a03c-b642f0fc1664,adhoc
Xhf9YqwlM4,naive_mini,2,gpt-5.4-mini,naive,76,,,,,,45993,247,,adhoc
KkT3f2N4oF,full_mini,0,gpt-5.4-mini,v6,57,54,57,57,63,80,264008,22335,412ec636-f695-459d-8c3f-a5d116405c45,adhoc
KkT3f2N4oF,naive_mini,0,gpt-5.4-mini,naive,42,,,,,,24532,220,,adhoc
KkT3f2N4oF,full_mini,1,gpt-5.4-mini,v6,59,59,55,57,63,84,238749,13070,826f67f0-a5b5-4633-9bdf-4223b8e7b7fc,adhoc
KkT3f2N4oF,naive_mini,1,gpt-5.4-mini,naive,18,,,,,,24525,166,,adhoc
KkT3f2N4oF,full_mini,2,gpt-5.4-mini,v6,64,61,67,61,67,100,155434,11993,b279a2a0-b4a1-4f29-8fbb-52eae9ddbbdb,adhoc
KkT3f2N4oF,naive_mini,2,gpt-5.4-mini,naive,35,,,,,,24529,195,,adhoc
d5qElNtXS5,full_mini,0,gpt-5.4-mini,v6,58,60,56,54,61,84,176663,22492,6ee9ffda-8d12-4721-a563-a6036018913b,adhoc
d5qElNtXS5,naive_mini,0,gpt-5.4-mini,naive,24,,,,,,28592,204,,adhoc
d5qElNtXS5,full_mini,1,gpt-5.4-mini,v6,60,63,59,55,61,72,175917,16525,fba67d25-08bd-417a-ae75-e5a16b75db63,adhoc
d5qElNtXS5,naive_mini,1,gpt-5.4-mini,naive,42,,,,,,28595,275,,adhoc
d5qElNtXS5,full_mini,2,gpt-5.4-mini,v6,59,60,57,56,60,76,175672,14610,99f0826a-8c60-4f76-a0be-4fe48a66bae7,adhoc
d5qElNtXS5,naive_mini,2,gpt-5.4-mini,naive,28,,,,,,28596,177,,adhoc
Vsgq2ldr4K,full_mini,0,gpt-5.4-mini,v6,66,68,64,58,76,100,148873,9526,f39e7822-6843-4df9-ac86-3a741cc67aa7,adhoc
Vsgq2ldr4K,naive_mini,0,gpt-5.4-mini,naive,42,,,,,,23642,187,,adhoc
Vsgq2ldr4K,full_mini,1,gpt-5.4-mini,v6,67,72,68,56,76,88,197752,15754,ab2f27b6-ebba-4ece-b2e7-8859389baf71,adhoc
Vsgq2ldr4K,naive_mini,1,gpt-5.4-mini,naive,42,,,,,,23642,201,,adhoc
Vsgq2ldr4K,full_mini,2,gpt-5.4-mini,v6,64,67,68,58,72,64,202565,15593,5bf31d51-de83-46ca-9281-52b4f53fca39,adhoc
Vsgq2ldr4K,naive_mini,2,gpt-5.4-mini,naive,32,,,,,,23643,249,,adhoc
9C4gVbPqSy,full_mini,0,gpt-5.4-mini,v6,69,60,71,70,81,100,332539,19367,2ac3ca4c-3550-467a-9fd5-9a4a795df702,adhoc
9C4gVbPqSy,naive_mini,0,gpt-5.4-mini,naive,79,,,,,,60242,358,,adhoc
9C4gVbPqSy,full_mini,1,gpt-5.4-mini,v6,74,68,77,74,82,100,418960,15717,c3bf8aa4-a574-467a-835e-70fa4fca64a8,adhoc
9C4gVbPqSy,naive_mini,1,gpt-5.4-mini,naive,78,,,,,,60256,269,,adhoc
9C4gVbPqSy,full_mini,2,gpt-5.4-mini,v6,69,60,77,71,82,72,414910,20522,97ae6b30-d0d4-4cf5-b286-84652f821e8c,adhoc
9C4gVbPqSy,naive_mini,2,gpt-5.4-mini,naive,78,,,,,,60243,275,,adhoc
VKGTGGcwl6,full_mini,0,gpt-5.4-mini,v6,68,63,79,60,82,100,350046,13803,d918cb9e-996f-4ad5-9662-975eb8002f35,adhoc
VKGTGGcwl6,naive_mini,0,gpt-5.4-mini,naive,84,,,,,,50896,202,,adhoc
VKGTGGcwl6,full_mini,1,gpt-5.4-mini,v6,66,62,76,59,84,88,362732,15288,da329b49-f964-433c-a7db-1d73367c4e60,adhoc
VKGTGGcwl6,naive_mini,1,gpt-5.4-mini,naive,78,,,,,,50896,165,,adhoc
VKGTGGcwl6,full_mini,2,gpt-5.4-mini,v6,69,68,76,63,83,76,356431,12023,ae8e713b-9858-47fa-918e-e7a67cda3eb9,adhoc
VKGTGGcwl6,naive_mini,2,gpt-5.4-mini,naive,84,,,,,,50896,217,,adhoc
HcubxPWpw7,full_mini,0,gpt-5.4-mini,v6,71,72,71,67,78,76,330060,16288,bb168126-691d-4fd6-bcbf-8ef60ddfb651,adhoc
HcubxPWpw7,naive_mini,0,gpt-5.4-mini,naive,76,,,,,,45575,192,,adhoc
HcubxPWpw7,full_mini,1,gpt-5.4-mini,v6,71,71,72,66,74,100,260852,17494,6a13489d-c6eb-4cf3-9d3a-aa2d8a5b28b0,adhoc
HcubxPWpw7,naive_mini,1,gpt-5.4-mini,naive,71,,,,,,45570,244,,adhoc
HcubxPWpw7,full_mini,2,gpt-5.4-mini,v6,67,59,72,67,78,84,258690,13733,661e6116-76e6-4cd5-a56f-03afd3d64d50,adhoc
HcubxPWpw7,naive_mini,2,gpt-5.4-mini,naive,80,,,,,,45563,275,,adhoc
lKqE7UuMvp,full_mini,0,gpt-5.4-mini,v6,71,68,76,68,78,88,270581,16911,04e38a08-c9ac-432c-bd6f-d2412e21409e,adhoc
lKqE7UuMvp,naive_mini,0,gpt-5.4-mini,naive,78,,,,,,37217,196,,adhoc
lKqE7UuMvp,full_mini,1,gpt-5.4-mini,v6,73,74,77,69,74,72,269877,18420,7332b2c3-d0d5-43f9-9380-10319a960658,adhoc
lKqE7UuMvp,naive_mini,1,gpt-5.4-mini,naive,74,,,,,,37216,163,,adhoc
lKqE7UuMvp,full_mini,2,gpt-5.4-mini,v6,71,72,74,67,77,72,217554,13516,1e02ac33-309c-4dd7-9fa2-0244d031b07a,adhoc
lKqE7UuMvp,naive_mini,2,gpt-5.4-mini,naive,72,,,,,,37216,204,,adhoc
T5wkZJqzkz,full_mini,0,gpt-5.4-mini,v6,71,61,78,72,81,100,330893,16754,a376e58b-6397-4ea5-8bbd-2b6ca74799e1,adhoc
T5wkZJqzkz,naive_mini,0,gpt-5.4-mini,naive,78,,,,,,45287,210,,adhoc
T5wkZJqzkz,full_mini,1,gpt-5.4-mini,v6,73,68,77,73,81,92,332720,17822,d2928c7d-34de-4078-9f3d-d18ff8b55d3b,adhoc
T5wkZJqzkz,naive_mini,1,gpt-5.4-mini,naive,80,,,,,,45290,227,,adhoc
T5wkZJqzkz,full_mini,2,gpt-5.4-mini,v6,74,71,74,73,78,96,392145,19319,71291bf4-62d4-45e8-b701-f54d51ec01d0,adhoc
T5wkZJqzkz,naive_mini,2,gpt-5.4-mini,naive,74,,,,,,45293,236,,adhoc
v8yooSV1AW,full_mini,0,gpt-5.4-mini,v6,61,63,57,60,54,88,426645,16775,0ee1f74b-fc06-426b-9e05-7e3fe1f2dc9c,adhoc
v8yooSV1AW,naive_mini,0,gpt-5.4-mini,naive,38,,,,,,63549,197,,adhoc
v8yooSV1AW,full_mini,1,gpt-5.4-mini,v6,61,69,57,56,54,72,350079,16638,1f37775b-f10c-4ff2-b485-f599afca5505,adhoc
v8yooSV1AW,naive_mini,1,gpt-5.4-mini,naive,34,,,,,,63549,137,,adhoc
v8yooSV1AW,full_mini,2,gpt-5.4-mini,v6,64,69,66,57,62,72,432676,13264,996ed6fd-b50e-4da4-881e-4eaf0be074d5,adhoc
v8yooSV1AW,naive_mini,2,gpt-5.4-mini,naive,38,,,,,,63554,156,,adhoc
Q3yLIIkt7z,full_mini,0,gpt-5.4-mini,v6,69,78,68,57,73,100,288517,15608,4465590e-89c6-4be5-9333-16eab6f485cc,adhoc
Q3yLIIkt7z,naive_mini,0,gpt-5.4-mini,naive,74,,,,,,51720,309,,adhoc
Q3yLIIkt7z,full_mini,1,gpt-5.4-mini,v6,68,78,67,55,72,84,365751,15898,f13bc03a-bc34-4fed-85e2-e5b5e7cb84c0,adhoc
Q3yLIIkt7z,naive_mini,1,gpt-5.4-mini,naive,78,,,,,,51720,286,,adhoc
Q3yLIIkt7z,full_mini,2,gpt-5.4-mini,v6,64,74,67,48,72,88,363160,17206,aede35b4-8d61-41c7-8260-7031ad665cd3,adhoc
Q3yLIIkt7z,naive_mini,2,gpt-5.4-mini,naive,78,,,,,,51720,208,,adhoc
q8fTgw8e5E,full_mini,0,gpt-5.4-mini,v6,68,73,70,58,72,100,338480,15927,1b0cbf5b-864b-4e41-b2a3-4b6bd9316365,adhoc
q8fTgw8e5E,naive_mini,0,gpt-5.4-mini,naive,72,,,,,,49108,320,,adhoc
q8fTgw8e5E,full_mini,1,gpt-5.4-mini,v6,63,60,71,58,73,84,345251,13438,c1288835-676b-4314-9d61-9d76f66ef0f4,adhoc
q8fTgw8e5E,naive_mini,1,gpt-5.4-mini,naive,68,,,,,,49110,220,,adhoc
q8fTgw8e5E,full_mini,2,gpt-5.4-mini,v6,63,62,66,57,72,100,405742,16374,26134089-6166-4a15-9e03-fec9d5392530,adhoc
q8fTgw8e5E,naive_mini,2,gpt-5.4-mini,naive,67,,,,,,49110,235,,adhoc
NbdEDRRsCI,full_mini,0,gpt-5.4-mini,v6,75,74,77,72,80,80,178003,18109,d709e5e9-faa7-4142-99ed-93a964bd8bde,adhoc
NbdEDRRsCI,naive_mini,0,gpt-5.4-mini,naive,74,,,,,,21324,208,,adhoc
NbdEDRRsCI,full_mini,1,gpt-5.4-mini,v6,71,71,74,69,74,72,231663,15728,10208d45-6d7e-4a82-a6f8-5bf5b740fb9e,adhoc
